method,condition,cls,metric,iou,gt_objects,has_gt,ap,strong_minus_method
ASF_local,countryside,sed,3d,0.5,363,True,37.997980819941986,-3.7609639885049546
ASF_local,countryside,sed,3d,0.3,363,True,64.27475193039355,-4.258775234342117
ASF_local,countryside,sed,bev,0.7,363,True,24.534564935207904,-1.254578741085048
ASF_local,countryside,sed,bev,0.5,363,True,57.98658455308355,-2.056336015128956
ASF_local,countryside,sed,bev,0.3,363,True,66.9959380629474,-1.6691931511706315
ASF_local,countryside,bus,3d,0.7,173,True,2.011566507417651,-0.42507967012547554
ASF_local,countryside,bus,3d,0.5,173,True,20.361657449407712,-8.046234426124665
ASF_local,countryside,bus,3d,0.3,173,True,32.50861943292939,-7.674161791368213
ASF_local,countryside,bus,bev,0.7,173,True,13.255992797820927,-5.631946575441885
ASF_local,countryside,bus,bev,0.5,173,True,23.576870120682376,-3.9782522832584384
ASF_local,countryside,bus,bev,0.3,173,True,33.01707283339061,-5.670775296268591
ASF_local,alleyway,sed,3d,0.7,3844,True,1.808018135380053,0.9009855406573046
ASF_local,alleyway,sed,3d,0.5,3844,True,19.22413538419607,1.8438694322726654
ASF_local,alleyway,sed,3d,0.3,3844,True,38.1990779740102,-0.09144977089817274
