method,baseline,cls,group,gt,common_tp_3D,gained,lost,recall_delta_3D,recall_delta_BEV,common_tp_objdec_lr_xy_m,common_tp_l4dr_xy_m,common_tp_objdec_lr_z_m,common_tp_l4dr_z_m,common_tp_objdec_lr_size_l1_m,common_tp_l4dr_size_l1_m,common_tp_objdec_lr_yaw_axis_deg,common_tp_l4dr_yaw_axis_deg,common_tp_objdec_clr_xy_m,common_tp_asf_xy_m,common_tp_objdec_clr_z_m,common_tp_asf_z_m,common_tp_objdec_clr_size_l1_m,common_tp_asf_size_l1_m,common_tp_objdec_clr_yaw_axis_deg,common_tp_asf_yaw_axis_deg
objdec_clr,asf,Vehicle,lidar:0-5,88,4,1,6,-0.056818181818181816,-0.10227272727272728,,,,,,,,,0.2097045611590147,0.18755674734711647,0.04260316491127014,0.03130495548248291,0.1776317059993744,0.18789556622505188,3.9280299525288287,1.4509712363316587
objdec_lr,l4dr,Vehicle,lidar:6-20,47,8,3,8,-0.10638297872340426,0.02127659574468085,0.14266542019322515,0.15803145244717598,0.061240412294864655,0.07435641437768936,0.1785896271467209,0.16310536861419678,2.9655571470455238,1.8316691896921204,,,,,,,,
objdec_clr,asf,Vehicle,lidar:6-20,47,10,9,1,0.1702127659574468,0.0851063829787234,,,,,,,,,0.14537606872618197,0.14971619732677938,0.06510571241378785,0.08169993758201599,0.21749814748764038,0.20131980180740355,2.610930742928184,2.6585028281476246
objdec_lr,l4dr,Vehicle,lidar:21-100,1217,818,115,81,0.027937551355792935,-0.007395234182415777,0.11948471649693357,0.12241041451729014,0.05809266936298105,0.06409342836561296,0.21539150371528196,0.21547029551783517,2.239564250361721,2.2878393090103124,,,,,,,,
objdec_clr,asf,Vehicle,lidar:21-100,1217,802,94,106,-0.009860312243221035,0.0008216926869350862,,,,,,,,,0.11798937241268109,0.11854002921565661,0.0633517311992788,0.05564691007434579,0.20773426805648423,0.20739327523476464,2.15092291276425,2.198710467776766
objdec_lr,l4dr,Vehicle,lidar:101+,3514,3316,57,63,-0.001707455890722823,0.0008537279453614115,0.09466584463897572,0.0922945053941209,0.03661888934429218,0.0355751387602498,0.19548446892685425,0.1944799537178403,1.405451455482559,1.401189339695315,,,,,,,,
objdec_clr,asf,Vehicle,lidar:101+,3514,3308,38,84,-0.01309049516220831,-0.005122367672168469,,,,,,,,,0.09377015639791049,0.09363633531307354,0.03654239148559204,0.035486119205555555,0.19141480232957198,0.18750949115678217,1.3547393530873877,1.3975114498360828
objdec_lr,l4dr,Vehicle,radar:0,1286,892,97,84,0.01010886469673406,-0.006998444790046656,0.12058016152701637,0.11887985537864368,0.05486073340769573,0.05918940646999887,0.2254128584412716,0.219900333426993,2.10556199374476,2.146489609515313,,,,,,,,
objdec_clr,asf,Vehicle,radar:0,1286,885,90,96,-0.004665629860031105,-0.004665629860031105,,,,,,,,,0.11729557565466033,0.11946807691595901,0.0575962713630186,0.0550026655786455,0.21520882663080249,0.21409418488626425,1.9606885018344447,2.023281543358651
objdec_lr,l4dr,Vehicle,radar:1-5,705,547,45,27,0.02553191489361702,0.015602836879432624,0.11199855737488587,0.11055265838310967,0.04683951367462357,0.047280441036607924,0.20052243020024552,0.20358082842783257,1.7656248167876971,1.7901402116334846,,,,,,,,
objdec_clr,asf,Vehicle,radar:1-5,705,544,23,49,-0.03687943262411347,-0.0028368794326241137,,,,,,,,,0.11430374910731403,0.11136743822777027,0.05064985203994986,0.045322407406809574,0.19408494562787168,0.19356485193266587,1.7259850872453995,1.7834032021710824
objdec_lr,l4dr,Vehicle,radar:6-20,848,755,23,23,0.0,0.0011792452830188679,0.10584101792554439,0.10005487565025194,0.04128415465157553,0.04323752923122305,0.20409856695213066,0.2018141757573513,1.6282675884087605,1.566480398696395,,,,,,,,
