model,cls,group,gt,tp_3D,recall_3D,tp_BEV,recall_BEV,tp_mean_xy_m,tp_mean_z_m,tp_mean_size_l1_m,tp_mean_yaw_axis_deg
objdec_lr,Cyclist,all,3364,3014,0.8959571938168847,3096,0.920332936979786,0.09739979969345462,0.051648616437276786,0.15723170521010923,5.216996795618837
asf,Cyclist,all,3364,3001,0.8920927467300832,3075,0.914090368608799,0.09786952757725033,0.05155684523624565,0.15677666628372666,5.065086563919559
l4dr,Cyclist,all,3364,2980,0.8858501783590963,3066,0.9114149821640903,0.09792478297018264,0.050492609209762326,0.15422961641878088,5.20405666744654
objdec_clr,Cyclist,range:0-30,1166,1113,0.9545454545454546,1117,0.9579759862778731,0.0888561955159438,0.039390104505679466,0.16250223649694162,4.463219354125049
objdec_lr,Cyclist,range:0-30,1166,1112,0.9536878216123499,1123,0.9631217838765008,0.08859616624448523,0.03760055591948598,0.16035990781492468,4.449678223101561
asf,Cyclist,range:0-30,1166,1117,0.9579759862778731,1126,0.9656946826758147,0.0886702198950422,0.03804995974687561,0.16172707891933813,4.5136421202241115
l4dr,Cyclist,range:0-30,1166,1095,0.9391080617495712,1106,0.9485420240137221,0.08997949921657845,0.03617687911203463,0.15705527546198944,4.620839367612331
objdec_clr,Cyclist,range:30-60,1716,1535,0.8945221445221445,1578,0.9195804195804196,0.10463789836458061,0.05560771699400212,0.15497247163169936,5.2780840214971505
objdec_lr,Cyclist,range:30-60,1716,1525,0.8886946386946387,1566,0.9125874125874126,0.10031552896567728,0.05587414913001608,0.1547796326387124,5.488070720115082
asf,Cyclist,range:30-60,1716,1516,0.8834498834498834,1563,0.9108391608391608,0.1010640928623731,0.05383927750064547,0.15230321459531154,5.216089481853438
l4dr,Cyclist,range:30-60,1716,1503,0.8758741258741258,1552,0.9044289044289044,0.10050186240197924,0.05335460824325572,0.15169406040303324,5.39226875055576
objdec_clr,Cyclist,range:60+,482,385,0.7987551867219918,413,0.8568464730290456,0.11882055420368039,0.08190731541676954,0.16400402753384083,6.224254437989077
objdec_lr,Cyclist,range:60+,482,377,0.7821576763485477,407,0.8443983402489627,0.11157261999879793,0.07599213351779655,0.15792361336614472,6.383762094776496
asf,Cyclist,range:60+,482,368,0.7634854771784232,386,0.8008298755186722,0.11263220613371865,0.08315201854819189,0.16017922564693118,6.116833900930579
l4dr,Cyclist,range:60+,482,382,0.7925311203319502,408,0.8464730290456431,0.11056021575606306,0.08026784457539389,0.15610617149562736,6.135313689449945
objdec_clr,Cyclist,lidar:0-5,46,4,0.08695652173913043,4,0.08695652173913043,0.16207739035598934,0.12495043873786926,0.2506987005472183,2.9550993304953597
objdec_lr,Cyclist,lidar:0-5,46,7,0.15217391304347827,7,0.15217391304347827,0.2085173837840557,0.060640692710876465,0.2628066710063389,3.083393603293163
asf,Cyclist,lidar:0-5,46,9,0.1956521739130435,10,0.21739130434782608,0.19902088079187605,0.08075801531473796,0.25199515289730495,4.976605400506316
l4dr,Cyclist,lidar:0-5,46,0,0.0,0,0.0,,,,
objdec_clr,Cyclist,lidar:6-20,204,111,0.5441176470588235,128,0.6274509803921569,0.13761852765329988,0.10037321469805262,0.1514432902808662,7.468331555619998
objdec_lr,Cyclist,lidar:6-20,204,107,0.5245098039215687,126,0.6176470588235294,0.112009865919424,0.0866305499433357,0.146622157542505,7.677443689992836
asf,Cyclist,lidar:6-20,204,107,0.5245098039215687,122,0.5980392156862745,0.12772191964333582,0.089211118834041,0.1613583018846601,7.85429158421444
l4dr,Cyclist,lidar:6-20,204,113,0.553921568627451,132,0.6470588235294118,0.11459504329162624,0.09138661833990992,0.14537232797757715,7.685412121913981
objdec_clr,Cyclist,lidar:21-100,1782,1614,0.9057239057239057,1667,0.9354657687991021,0.10888614739615082,0.05993012727331716,0.15874931127608488,5.6271633509413075
objdec_lr,Cyclist,lidar:21-100,1782,1597,0.8961840628507295,1652,0.9270482603815937,0.10411649789119112,0.059463494076494434,0.1543047281078943,5.876469415368795
asf,Cyclist,lidar:21-100,1782,1584,0.8888888888888888,1634,0.9169472502805837,0.10391274774655808,0.06023861329550996,0.15386358524362245,5.6802759546787485
l4dr,Cyclist,lidar:21-100,1782,1588,0.8911335578002245,1645,0.9231200897867564,0.1049848729817863,0.05881805121617143,0.15286806938930483,5.704788473317419
objdec_clr,Cyclist,lidar:101+,1332,1304,0.978978978978979,1309,0.9827327327327328,0.0871133626832561,0.040157127554065614,0.15939792588444576,4.250546951188671
objdec_lr,Cyclist,lidar:101+,1332,1303,0.9782282282282282,1311,0.9842342342342343,0.08737089163773848,0.03914948289246167,0.1611231704995162,4.2181400273207394
