variant,checkpoint,epoch,split,metric,value
patch,last,80,val,V2X/Vehicle_BEV_moderate_loose,94.71608015768332
patch,last,80,val,V2X/Vehicle_3D_hard_loose,92.55384839517646
patch,last,80,val,V2X/Vehicle_BEV_hard_loose,93.59012529254059
patch,last,80,val,V2X/Pedestrian_3D_easy_strict,60.056821953045734
patch,last,80,val,V2X/Pedestrian_BEV_easy_strict,65.08640490446413
patch,last,80,val,V2X/Pedestrian_3D_moderate_strict,58.52557167909064
patch,last,80,val,V2X/Pedestrian_BEV_moderate_strict,63.69136854729286
patch,last,80,val,V2X/Pedestrian_3D_hard_strict,58.40018718317067
patch,last,80,val,V2X/Pedestrian_BEV_hard_strict,63.68473706716687
patch,last,80,val,V2X/Pedestrian_3D_easy_loose,79.7011964292741
patch,last,80,val,V2X/Pedestrian_BEV_easy_loose,80.29276921732776
patch,last,80,val,V2X/Pedestrian_3D_moderate_loose,77.47298727805094
patch,last,80,val,V2X/Pedestrian_BEV_moderate_loose,78.13375531597214
patch,last,80,val,V2X/Pedestrian_3D_hard_loose,77.39833131117811
patch,last,80,val,V2X/Pedestrian_BEV_hard_loose,78.0826397916439
patch,last,80,val,V2X/Cyclist_3D_easy_strict,82.49451063971959
patch,last,80,val,V2X/Cyclist_BEV_easy_strict,84.87970018910904
patch,last,80,val,V2X/Cyclist_3D_moderate_strict,78.68659855322615
patch,last,80,val,V2X/Cyclist_BEV_moderate_strict,82.08781012302269
patch,last,80,val,V2X/Cyclist_3D_hard_strict,78.5520487184337
patch,last,80,val,V2X/Cyclist_BEV_hard_strict,81.98872255985317
patch,last,80,val,V2X/Cyclist_3D_easy_loose,90.14336961217998
patch,last,80,val,V2X/Cyclist_BEV_easy_loose,90.24578870351144
patch,last,80,val,V2X/Cyclist_3D_moderate_loose,88.27087453445507
patch,last,80,val,V2X/Cyclist_BEV_moderate_loose,88.42775850047533
patch,last,80,val,V2X/Cyclist_3D_hard_loose,88.30187963991722
patch,last,80,val,V2X/Cyclist_BEV_hard_loose,88.43822493236779
patch,last,80,val,V2X/Overall_3D_easy,76.5358342626211
patch,last,80,val,V2X/Overall_BEV_easy,80.4569310328102
patch,last,80,val,V2X/Overall_3D_moderate,72.29957150667991
patch,last,80,val,V2X/Overall_BEV_moderate,78.5228826270991
patch,last,80,val,V2X/Overall_3D_hard,71.69006478304314
patch,last,80,val,V2X/Overall_BEV_hard,77.94932086413911
patch,last,80,val_deduplicated,V2X/Vehicle_3D_easy_strict,87.03272011962831
patch,last,80,val_deduplicated,V2X/Vehicle_BEV_easy_strict,91.39049062328904
patch,last,80,val_deduplicated,V2X/Vehicle_3D_moderate_strict,79.74457630656156
patch,last,80,val_deduplicated,V2X/Vehicle_BEV_moderate_strict,89.77153188905305
patch,last,80,val_deduplicated,V2X/Vehicle_3D_hard_strict,78.11000712607454
patch,last,80,val_deduplicated,V2X/Vehicle_BEV_hard_strict,88.15237155248698
patch,last,80,val_deduplicated,V2X/Vehicle_3D_easy_loose,94.10196809698492
patch,last,80,val_deduplicated,V2X/Vehicle_BEV_easy_loose,95.35622866818831
patch,last,80,val_deduplicated,V2X/Vehicle_3D_moderate_loose,93.28836203846048
patch,last,80,val_deduplicated,V2X/Vehicle_BEV_moderate_loose,94.6678426625317
patch,last,80,val_deduplicated,V2X/Vehicle_3D_hard_loose,92.52839112485718
patch,last,80,val_deduplicated,V2X/Vehicle_BEV_hard_loose,93.56323650881471
patch,last,80,val_deduplicated,V2X/Pedestrian_3D_easy_strict,60.0392302973369
patch,last,80,val_deduplicated,V2X/Pedestrian_BEV_easy_strict,65.06194348085941
patch,last,80,val_deduplicated,V2X/Pedestrian_3D_moderate_strict,58.39781498534913
patch,last,80,val_deduplicated,V2X/Pedestrian_BEV_moderate_strict,63.6104502966895
patch,last,80,val_deduplicated,V2X/Pedestrian_3D_hard_strict,58.30045860630999
patch,last,80,val_deduplicated,V2X/Pedestrian_BEV_hard_strict,63.57494414902324
patch,last,80,val_deduplicated,V2X/Pedestrian_3D_easy_loose,79.7244585498331
patch,last,80,val_deduplicated,V2X/Pedestrian_BEV_easy_loose,80.3345660411068
patch,last,80,val_deduplicated,V2X/Pedestrian_3D_moderate_loose,77.43822476139412
patch,last,80,val_deduplicated,V2X/Pedestrian_BEV_moderate_loose,78.10555163779063
patch,last,80,val_deduplicated,V2X/Pedestrian_3D_hard_loose,77.34349665073253
patch,last,80,val_deduplicated,V2X/Pedestrian_BEV_hard_loose,78.03834619655021
patch,last,80,val_deduplicated,V2X/Cyclist_3D_easy_strict,82.49927626882402
patch,last,80,val_deduplicated,V2X/Cyclist_BEV_easy_strict,84.88915042829672
patch,last,80,val_deduplicated,V2X/Cyclist_3D_moderate_strict,78.65870918939561
patch,last,80,val_deduplicated,V2X/Cyclist_BEV_moderate_strict,82.07573831355883
patch,last,80,val_deduplicated,V2X/Cyclist_3D_hard_strict,78.50663709925352
patch,last,80,val_deduplicated,V2X/Cyclist_BEV_hard_strict,81.94484577865227
patch,last,80,val_deduplicated,V2X/Cyclist_3D_easy_loose,90.15460191552152
patch,last,80,val_deduplicated,V2X/Cyclist_BEV_easy_loose,90.25746412272761
patch,last,80,val_deduplicated,V2X/Cyclist_3D_moderate_loose,88.30371645329869
patch,last,80,val_deduplicated,V2X/Cyclist_BEV_moderate_loose,88.44908617910303
patch,last,80,val_deduplicated,V2X/Cyclist_3D_hard_loose,88.31159811994634
patch,last,80,val_deduplicated,V2X/Cyclist_BEV_hard_loose,88.44900356583028
patch,last,80,val_deduplicated,V2X/Overall_3D_easy,76.5237422285964
patch,last,80,val_deduplicated,V2X/Overall_BEV_easy,80.44719484414838
patch,last,80,val_deduplicated,V2X/Overall_3D_moderate,72.26703349376876
patch,last,80,val_deduplicated,V2X/Overall_BEV_moderate,78.48590683310046
patch,last,80,val_deduplicated,V2X/Overall_3D_hard,71.63903427721267
patch,last,80,val_deduplicated,V2X/Overall_BEV_hard,77.8907204933875
patch,last,80,test,V2X/Vehicle_3D_easy_strict,85.46232021199715
patch,last,80,test,V2X/Vehicle_BEV_easy_strict,92.37327266786754
patch,last,80,test,V2X/Vehicle_3D_moderate_strict,78.50675341645402
patch,last,80,test,V2X/Vehicle_BEV_moderate_strict,88.8155639288648
patch,last,80,test,V2X/Vehicle_3D_hard_strict,77.73639969987956
patch,last,80,test,V2X/Vehicle_BEV_hard_strict,87.99231492639512
patch,last,80,test,V2X/Vehicle_3D_easy_loose,94.84213451407567
patch,last,80,test,V2X/Vehicle_BEV_easy_loose,95.73908469853248
patch,last,80,test,V2X/Vehicle_3D_moderate_loose,93.30577245121393
patch,last,80,test,V2X/Vehicle_BEV_moderate_loose,94.18937405221479
patch,last,80,test,V2X/Vehicle_3D_hard_loose,92.9742862422945
patch,last,80,test,V2X/Vehicle_BEV_hard_loose,93.8122438333294
patch,last,80,test,V2X/Pedestrian_3D_easy_strict,59.66730857055327
patch,last,80,test,V2X/Pedestrian_BEV_easy_strict,63.59691470239065
patch,last,80,test,V2X/Pedestrian_3D_moderate_strict,59.01395056946398
patch,last,80,test,V2X/Pedestrian_BEV_moderate_strict,63.38285089455732
patch,last,80,test,V2X/Pedestrian_3D_hard_strict,59.07154545417692
patch,last,80,test,V2X/Pedestrian_BEV_hard_strict,63.41794264068417
patch,last,80,test,V2X/Pedestrian_3D_easy_loose,80.10469553556815
patch,last,80,test,V2X/Pedestrian_BEV_easy_loose,80.81493444762759
patch,last,80,test,V2X/Pedestrian_3D_moderate_loose,78.8785892856189
patch,last,80,test,V2X/Pedestrian_BEV_moderate_loose,79.52228095631261
patch,last,80,test,V2X/Pedestrian_3D_hard_loose,78.88338983170252
patch,last,80,test,V2X/Pedestrian_BEV_hard_loose,79.52139905380953
patch,last,80,test,V2X/Cyclist_3D_easy_strict,82.4265728801589
patch,last,80,test,V2X/Cyclist_BEV_easy_strict,84.88292884078975
patch,last,80,test,V2X/Cyclist_3D_moderate_strict,79.02978777847639
