run,condition,class,metric,iou,ap,asf_ap,delta_pp
ASF official RLC,lightsnow,bus,3D,0.3,88.25935219842833,88.25935219842833,0.0
ASF official RLC,lightsnow,bus,3D,0.5,70.81127016589451,70.81127016589451,0.0
ASF official RLC,lightsnow,bus,3D,0.7,39.85807168093349,39.85807168093349,0.0
ASF official RLC,lightsnow,bus,BEV,0.3,94.46301987468712,94.46301987468712,0.0
ASF official RLC,lightsnow,bus,BEV,0.5,91.02288067610948,91.02288067610948,0.0
ASF official RLC,lightsnow,bus,BEV,0.7,69.53403189422211,69.53403189422211,0.0
ASF official RLC,heavysnow,sed,3D,0.3,63.60797021105265,63.60797021105265,0.0
ASF official RLC,heavysnow,sed,3D,0.5,49.52424782762442,49.52424782762442,0.0
ASF official RLC,heavysnow,sed,3D,0.7,16.6205910527445,16.6205910527445,0.0
ASF official RLC,heavysnow,sed,BEV,0.3,63.89596450476439,63.89596450476439,0.0
ASF official RLC,heavysnow,sed,BEV,0.5,61.279116602695694,61.279116602695694,0.0
ASF official RLC,heavysnow,sed,BEV,0.7,42.616778269169906,42.616778269169906,0.0
ASF official RLC,heavysnow,bus,3D,0.3,68.20418622088357,68.20418622088357,0.0
ASF official RLC,heavysnow,bus,3D,0.5,32.550531908424915,32.550531908424915,0.0
ASF official RLC,heavysnow,bus,3D,0.7,7.825995971587418,7.825995971587418,0.0
ASF official RLC,heavysnow,bus,BEV,0.3,87.51376457522746,87.51376457522746,0.0
ASF official RLC,heavysnow,bus,BEV,0.5,79.69984775555656,79.69984775555656,0.0
ASF official RLC,heavysnow,bus,BEV,0.7,29.589559826906587,29.589559826906587,0.0
DecControlled Gentle 08-06,all,sed,3D,0.3,74.56786001697651,74.97794695657676,-0.410086939600248
DecControlled Gentle 08-06,all,sed,3D,0.5,51.73136430155593,52.09162529168767,-0.3602609901317422
DecControlled Gentle 08-06,all,sed,3D,0.7,11.993592747116121,11.854227787775777,0.13936495934034454
DecControlled Gentle 08-06,all,sed,BEV,0.3,77.3690029873196,77.84756800138433,-0.47856501406472773
DecControlled Gentle 08-06,all,sed,BEV,0.5,71.20011732358965,71.70175872066424,-0.501641397074593
DecControlled Gentle 08-06,all,sed,BEV,0.7,42.928365756792054,43.2084463511566,-0.2800805943645486
DecControlled Gentle 08-06,all,bus,3D,0.3,56.40528612574397,58.12835520133631,-1.723069075592342
DecControlled Gentle 08-06,all,bus,3D,0.5,31.77855388280795,31.055836725253055,0.7227171575548965
DecControlled Gentle 08-06,all,bus,3D,0.7,8.364604313795509,7.93057570170773,0.4340286120877783
DecControlled Gentle 08-06,all,bus,BEV,0.3,65.70121088284395,67.85341563441995,-2.1522047515759937
DecControlled Gentle 08-06,all,bus,BEV,0.5,49.31575997069144,53.20653519852178,-3.890775227830339
DecControlled Gentle 08-06,all,bus,BEV,0.7,21.33957052828208,20.853579642957946,0.48599088532413504
DecControlled Gentle 08-06,urban,sed,3D,0.3,77.86559654971575,78.21530346687796,-0.3497069171622087
DecControlled Gentle 08-06,urban,sed,3D,0.5,56.981950663969585,57.069269146190074,-0.0873184822204891
DecControlled Gentle 08-06,urban,sed,3D,0.7,15.057022170983483,14.436119359295468,0.6209028116880155
DecControlled Gentle 08-06,urban,sed,BEV,0.3,80.76643687049202,81.14274190212569,-0.37630503163367734
DecControlled Gentle 08-06,urban,sed,BEV,0.5,74.53663405363173,74.76960621471763,-0.2329721610858968
DecControlled Gentle 08-06,urban,sed,BEV,0.7,50.30496390898791,50.836694047562126,-0.5317301385742184
DecControlled Gentle 08-06,urban,bus,3D,0.3,86.07138505244299,86.24622015391492,-0.1748351014719276
DecControlled Gentle 08-06,urban,bus,3D,0.5,50.059727036781744,45.14661479140337,4.913112245378372
DecControlled Gentle 08-06,urban,bus,3D,0.7,18.69314382976129,13.19080014789471,5.502343681866581
DecControlled Gentle 08-06,urban,bus,BEV,0.3,88.68900627472382,88.53903758982509,0.14996868489873805
DecControlled Gentle 08-06,urban,bus,BEV,0.5,81.47296403821058,82.30261788411943,-0.8296538459088509
DecControlled Gentle 08-06,urban,bus,BEV,0.7,38.93163041382944,38.80794482057661,0.12368559325283002
DecControlled Gentle 08-06,highway,sed,3D,0.3,83.36440017984312,81.45046674612678,1.9139334337163376
DecControlled Gentle 08-06,highway,sed,3D,0.5,54.99905462640305,55.73026706875257,-0.7312124423495163
DecControlled Gentle 08-06,highway,sed,3D,0.7,6.038591013662358,6.244769341412074,-0.20617832774971667
DecControlled Gentle 08-06,highway,sed,BEV,0.3,86.03364625762173,84.34393180859784,1.6897144490238816
DecControlled Gentle 08-06,highway,sed,BEV,0.5,79.34137082528683,78.05297775458348,1.28839307070335
DecControlled Gentle 08-06,highway,sed,BEV,0.7,41.73892886223405,41.99861999751438,-0.2596911352803346
DecControlled Gentle 08-06,highway,bus,3D,0.3,55.77988639963417,56.79300374524857,-1.013117345614397
DecControlled Gentle 08-06,highway,bus,3D,0.5,30.639577668480854,29.334711576873406,1.3048660916074475
DecControlled Gentle 08-06,highway,bus,3D,0.7,8.203622781310257,8.114078627460296,0.0895441538499604
DecControlled Gentle 08-06,highway,bus,BEV,0.3,68.4007400548174,68.39847864916388,0.002261405653527504
DecControlled Gentle 08-06,highway,bus,BEV,0.5,47.53761944045636,51.451891907410385,-3.9142724669540243
DecControlled Gentle 08-06,highway,bus,BEV,0.7,20.775355842972555,18.690332636240395,2.08502320673216
DecControlled Gentle 08-06,countryside,sed,3D,0.3,58.79466803912632,65.56484751745663,-6.770179478330306
DecControlled Gentle 08-06,countryside,sed,3D,0.5,38.24249810561422,43.50148816290062,-5.258990057286404
DecControlled Gentle 08-06,countryside,sed,3D,0.7,8.012235583917832,6.530115388438913,1.4821201954789185
DecControlled Gentle 08-06,countryside,sed,BEV,0.3,64.81900397686424,69.847527648194,-5.028523671329765
DecControlled Gentle 08-06,countryside,sed,BEV,0.5,54.23660523566567,60.368185366711856,-6.131580131046185
DecControlled Gentle 08-06,countryside,sed,BEV,0.7,24.635690492671966,27.25403185255677,-2.6183413598848055
DecControlled Gentle 08-06,countryside,bus,3D,0.3,24.989493089414314,32.68170426065163,-7.6922111712373145
DecControlled Gentle 08-06,countryside,bus,3D,0.5,10.625214408233276,15.098722415795587,-4.473508007562311
DecControlled Gentle 08-06,countryside,bus,3D,0.7,1.3350449293966624,1.9744483159117305,-0.6394033865150681
