condition,cls,metric,iou,gt_objects,has_gt,l4dr_local_aligned,asf_official_archive,strong_rescored,strong_minus_l4dr,strong_minus_asf,local_gt_exact_match_l4dr_strong,asf_frame_gt_reverified
normal,sed,3D,0.7,15988,True,6.92540744845747,7.41858471823177,5.553728758859114,-1.3716786895983564,-1.8648559593726564,True,False
normal,sed,BEV,0.3,15988,True,76.37767033029422,76.93696403582551,76.1296850263338,-0.2479853039604194,-0.8072790094917082,True,False
normal,sed,BEV,0.5,15988,True,72.04424662921436,70.65476501087757,70.00539861483695,-2.0388480143774075,-0.6493663960406195,True,False
normal,sed,BEV,0.7,15988,True,42.880015470847546,36.37259408289393,35.587099240835364,-7.292916230012182,-0.7854948420585686,True,False
normal,bus,3D,0.3,2763,True,56.26926214449585,53.28396691757169,51.630890403287545,-4.638371741208303,-1.6530765142841446,True,False
normal,bus,3D,0.5,2763,True,36.5955128647862,23.932995588579942,23.936136862373502,-12.6593760024127,0.0031412737935596624,True,False
normal,bus,3D,0.7,2763,True,7.739849608488392,5.728362594412192,2.48277242083018,-5.257077187658211,-3.2455901735820123,True,False
normal,bus,BEV,0.3,2763,True,59.346022705438294,57.35129446247801,55.525716531272586,-3.820306174165708,-1.825577931205423,True,False
normal,bus,BEV,0.5,2763,True,46.88430364315844,36.91333613194176,35.13510343847124,-11.749200204687199,-1.778232693470521,True,False
normal,bus,BEV,0.7,2763,True,21.23638615844648,11.30274464241066,10.402571686487033,-10.833814471959446,-0.9001729559236278,True,False
overcast,sed,3D,0.3,1107,True,83.57146866059291,82.35468228208515,84.30388440437787,0.732415743784955,1.9492021222927178,True,False
overcast,sed,3D,0.5,1107,True,56.5263421347087,53.37664815403531,59.62361869139369,3.0972765566849887,6.246970537358379,True,False
overcast,sed,3D,0.7,1107,True,11.126021227324513,6.298901277641798,8.724316215166606,-2.4017050121579064,2.425414937524808,True,False
overcast,sed,BEV,0.3,1107,True,90.73479458438379,89.36570822189952,91.38712327057618,0.6523286861923907,2.0214150486766584,True,False
overcast,sed,BEV,0.5,1107,True,87.30930337489833,81.98155331823098,82.30568257362836,-5.0036208012699745,0.3241292553973807,True,False
overcast,sed,BEV,0.7,1107,True,51.100286750487044,46.16740589274425,45.46403529227293,-5.636251458214112,-0.7033706004713167,True,False
overcast,bus,3D,0.3,151,True,87.42964352720442,75.32582793213054,73.82130508299801,-13.60833844420641,-1.5045228491325275,True,False
overcast,bus,3D,0.5,151,True,76.06427935482016,47.04012126011879,49.654868957211995,-26.409410397608163,2.6147476970932075,True,False
overcast,bus,3D,0.7,151,True,14.490832588796367,8.177121394765297,5.251002001037798,-9.239830587758568,-2.9261193937274994,True,False
overcast,bus,BEV,0.3,151,True,87.42964352720442,81.67069508532919,74.02102192981732,-13.408621597387096,-7.649673155511863,True,False
overcast,bus,BEV,0.5,151,True,81.75538037262379,54.739976399475886,62.30515540061342,-19.450224972010368,7.565179001137537,True,False
overcast,bus,BEV,0.7,151,True,44.37066899255135,21.953597635504902,18.715816703621588,-25.654852288929764,-3.2377809318833144,True,False
fog,sed,3D,0.3,1947,True,93.60388815841152,92.25503949710469,94.45576829875584,0.8518801403443206,2.2007288016511524,True,False
fog,sed,3D,0.5,1947,True,83.81108300487693,80.54989713755023,80.30148404335333,-3.509598961523608,-0.2484130941969056,True,False
fog,sed,3D,0.7,1947,True,38.296274700885064,38.988782336889166,43.51804264010096,5.221767939215894,4.529260303211792,True,False
fog,sed,BEV,0.3,1947,True,94.80997279060979,94.91345109202213,94.83924440755152,0.02927161694172753,-0.07420668447061018,True,False
fog,sed,BEV,0.5,1947,True,94.37606266928843,94.78265074487796,94.66788330776384,0.2918206384754143,-0.11476743711411075,True,False
fog,sed,BEV,0.7,1947,True,80.7790593076275,79.65763412163979,82.17234585430381,1.3932865466763076,2.5147117326640256,True,False
fog,bus,3D,0.3,0,False,0.0,0.0,0.0,0.0,0.0,True,False
fog,bus,3D,0.5,0,False,0.0,0.0,0.0,0.0,0.0,True,False
fog,bus,3D,0.7,0,False,0.0,0.0,0.0,0.0,0.0,True,False
fog,bus,BEV,0.3,0,False,0.0,0.0,0.0,0.0,0.0,True,False
fog,bus,BEV,0.5,0,False,0.0,0.0,0.0,0.0,0.0,True,False
fog,bus,BEV,0.7,0,False,0.0,0.0,0.0,0.0,0.0,True,False
rain,sed,3D,0.3,5978,True,78.25492313085188,66.3666834828411,68.10965295372804,-10.145270177123834,1.7429694708869476,True,False
rain,sed,3D,0.5,5978,True,53.03420031376067,46.85401943672793,48.298848693647464,-4.735351620113207,1.4448292569195331,True,False
rain,sed,3D,0.7,5978,True,14.408561358465466,17.18058831482299,17.493888348856977,3.0853269903915113,0.3133000340339862,True,False
rain,sed,BEV,0.3,5978,True,81.47223131831129,69.15170618976515,68.84273100082373,-12.629500317487555,-0.3089751889414174,True,False
rain,sed,BEV,0.5,5978,True,76.39988857046843,62.269378265348685,64.0555777774779,-12.344310792990541,1.7861995121292082,True,False
rain,sed,BEV,0.7,5978,True,53.38265392716976,43.52263057534297,44.90001944102435,-8.482634486145415,1.3773888656813753,True,False
rain,bus,3D,0.3,120,True,2.964426040265613,7.893203954541796,10.083134717177533,7.11870867691192,2.189930762635737,True,False
rain,bus,3D,0.5,120,True,0.6766917293233082,2.4840301974448318,5.051640209024325,4.3749484797010165,2.567610011579493,True,False
rain,bus,3D,0.7,120,True,0.06097560975609756,0.0,0.9004300467715103,0.8394544370154127,0.9004300467715103,True,False
rain,bus,BEV,0.3,120,True,4.241869036145855,7.893203954541796,10.083134717177533,5.841265681031678,2.189930762635737,True,False
