method,condition,cls,metric,iou,ap
"ASF (local, 11 epochs)",shoulder,bus,3d,0.5,0.0
"ASF (local, 11 epochs)",shoulder,bus,3d,0.7,0.0
"ASF (local, 11 epochs)",shoulder,bus,bev,0.3,0.0
"ASF (local, 11 epochs)",shoulder,bus,bev,0.5,0.0
"ASF (local, 11 epochs)",shoulder,bus,bev,0.7,0.0
"ASF (local, 11 epochs)",mountain,sed,3d,0.3,89.24786112714821
"ASF (local, 11 epochs)",mountain,sed,3d,0.5,63.28234250539742
"ASF (local, 11 epochs)",mountain,sed,3d,0.7,8.621638503897344
"ASF (local, 11 epochs)",mountain,sed,bev,0.3,92.13533383367546
"ASF (local, 11 epochs)",mountain,sed,bev,0.5,91.7227997199281
"ASF (local, 11 epochs)",mountain,sed,bev,0.7,67.11239014723725
"ASF (local, 11 epochs)",mountain,bus,3d,0.3,50.790486243689294
"ASF (local, 11 epochs)",mountain,bus,3d,0.5,47.65124446772682
"ASF (local, 11 epochs)",mountain,bus,3d,0.7,13.429728848406786
"ASF (local, 11 epochs)",mountain,bus,bev,0.3,50.87350398120121
"ASF (local, 11 epochs)",mountain,bus,bev,0.5,50.61392872476051
"ASF (local, 11 epochs)",mountain,bus,bev,0.7,31.331530507974865
"ASF (local, 11 epochs)",university,sed,3d,0.3,69.69785957918569
"ASF (local, 11 epochs)",university,sed,3d,0.5,43.62345955829633
"ASF (local, 11 epochs)",university,sed,3d,0.7,3.479724880995625
"ASF (local, 11 epochs)",university,sed,bev,0.3,72.30177187820402
"ASF (local, 11 epochs)",university,sed,bev,0.5,66.13734842942696
"ASF (local, 11 epochs)",university,sed,bev,0.7,30.235893842865035
"ASF (local, 11 epochs)",university,bus,3d,0.3,0.0
"ASF (local, 11 epochs)",university,bus,3d,0.5,0.0
"ASF (local, 11 epochs)",university,bus,3d,0.7,0.0
